# 已导入友盟后台的事件定义（后台不可删除，以下两个已从代码移除，将恒为 0 次）：
# register_success —— 注册流程在网站完成，App 内不可达
# update_later —— 更新弹窗实际不向用户提供「稍后再说」入口
play_start,开始演奏
play_finish,完成演奏
play_stop,手动停止演奏
play_compile_success,谱面编译成功
play_compile_fail,谱面编译失败
score_open,打开曲谱详情
score_download,下载曲谱
score_upload,上传曲谱
score_favorite_add,收藏曲谱
score_favorite_remove,取消收藏
score_search,搜索曲谱
score_comment_post,发表评论
register_success,注册成功
login_success,邮箱登录成功
oauth_login_success,第三方登录成功
logout,退出登录
update_prompt_show,更新弹窗展示
update_accept,点击立即更新
update_later,稍后再更新
update_download_success,更新包下载完成
update_install_start,发起安装
floating_enable,开启悬浮窗
floating_disable,关闭悬浮窗
disclaimer_agree,同意用户协议
battery_exemption_allow,允许忽略电池优化
autostart_guide_open,打开自启动设置
theme_change,切换主题模式
auto_update_toggle,切换自动更新开关
